ID,author_year,country,cohort_name,cohort_abbrev,study_design,estimateType,analysis_type,temporality,exposure_characteristic,exposure_dx_class,outcome_characteristic,outcome_dx_class,dx_pair,exposure_modified_label,outcome_modified_label,pair,mood_anx_unadj,mood_anx_adj,bi3_ago_unadj,bi3_ago_adj,bi3_ocd_unadj,bi3_ocd_adj,bi3_gad_unadj,bi3_gad_adj,bi3_pd_unadj,bi3_pd_adj,bi3_pts_unadj,bi3_pts_adj,bi3_so_unadj,bi3_so_adj,bi3_sp_unadj,bi3_sp_adj,bi3_anx_unadj,bi3_anx_adj,dep_ocd_unadj,dep_ocd_adj,dep_gad_unadj,dep_gad_adj,dep_pds_unadj,dep_pds_adj,dep_pts_unadj,dep_pts_adj,dep_so_unadj,dep_so_adj,dep_sp_unadj,dep_sp_adj,dep_anx_unadj,dep_anx_adj,dep_ago_unadj,dep_ago_adj,dys_ago_unadj,dys_ago_adj,dys_ocd_unadj,dys_ocd_adj,dys_gad_unadj,dys_gad_adj,dys_pds_unadj,dys_pds_adj,dys_pts_unadj,dys_pts_adj,dys_so_unadj,dys_so_adj,dys_sp_unadj,dys_sp_adj,dys_anx_unadj,dys_anx_adj,mood_gad_unadj,mood_gad_adj,mood_so_unadj,mood_so_adj,mood_sp_unadj,mood_sp_adj,type1,UnadjRate1,UnadjLowerCI1,UnadjUpperCI1,PValue_Unadjusted,type2,AdjRate1,AdjLowerCI1,AdjUpperCI1,PValue_Adjusted,type3,a,c,b,d
9,"Blanco et al, 2017",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,agoraphobia-bipolar I disorder,agoraphobia,bipolar I,agoraphobia-bipolar I,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.8,1.23,2.61,,,,,,
9,"Blanco et al, 2017",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC ,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,PTSD-bipolar I disorder,PTSD,bipolar I,PTSD-bipolar I,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.2,1.73,2.9,,,,,,
9,"Blanco et al, 2017",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC ,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,agoraphobia-bipolar I disorder,agoraphobia,bipolar I,agoraphobia-bipolar I,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.7,1.08,2.62,,,,,,
9,"Blanco et al, 2017",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,PTSD-bipolar I disorder,PTSD,bipolar I,PTSD-bipolar I,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.1,1.65,2.71,,,,,,
12,"Cairney et al, 2008",Canada,The Canadian Community Health Survey-Mental Health and Well-Being (CCHS),CCHS 1.2,cross-sectional,crude estimate,2 X 2 table,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,major depression-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,81,178,271,12262
12,"Cairney et al, 2008",Canada,The Canadian Community Health Survey-Mental Health and Well-Being (CCHS),CCHS 1.2,cross-sectional,crude estimate,2 X 2 table,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,major depression-social phobia,depression,social phobia,depression-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,51,113,301,12327
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,mood disorder-GAD,mood disorder,GAD,mood disorder-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,Overall,20.3,11.5,35.8,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,major depression-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,16.7,9.8,28.6,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,dysthymia-GAD,dysthymia,GAD,dysthymia-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,Overall,12,6.9,20.7,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.6,4.4,7.2,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,panic disorder-MDD,panic disorder,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.8,5.1,12,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,agoraphobia without panic-MDD,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.5,2.2,5.7,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,11.9,7.5,18.9,,,,,,
13,"Carter et al, 2001",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,specific phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.1,2.3,4.2,,,,,,
14,"Cederlof et al, 2015",Sweden,,,case-control,risk ratios,conditional logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-OCD,bipolar disorder,OCD,bipolar disorder-OCD,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,13.7,12.4,15.1,,,,,,,,,,,
16,"Chartier et al, 2003",Canada,The Ontario Health Survey Mental Health Supplement (OHS-MHS),OHS-MHS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,dysthymia-social phobia,dysthymia,social phobia,dysthymia-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,Overall,8.24,5.09,13.35,,,,,,
16,"Chartier et al, 2003",Canada,The Ontario Health Survey Mental Health Supplement (OHS-MHS),OHS-MHS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,major depression-social phobia,depression,social phobia,depression-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.2,2.41,4.25,,,,,,
16,"Chartier et al, 2003",Canada,The Ontario Health Survey Mental Health Supplement (OHS-MHS),OHS-MHS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-social phobia,bipolar disorder,social phobia,bipolar disorder-social phobia,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,8.95,4.31,18.57,,,,,,
17,"Chen et al, 2017",China,The China Kadoorie Biobank study (CKB),CKB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,MDE-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,247,209.4,291.3,,,,,,
18,"Chavira et al, 2004",USA,,,cross-sectional,odds ratios,logistic regression,lifetime,,anxiety disorder,lifetime,mood disorder,separation anxiety disorder-MDD,SAD,depression,SAD-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.14,0.1,12.5,,,,,,
18,"Chavira et al, 2004",USA,,,cross-sectional,odds ratios,logistic regression,lifetime,,anxiety disorder,lifetime,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.1,1.4,19.1,,,,,,
18,"Chavira et al, 2004",USA,,,cross-sectional,odds ratios,logistic regression,lifetime,,anxiety disorder,lifetime,mood disorder,specific phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,0.6,0.18,2.3,,,,,,
18,"Chavira et al, 2004",USA,,,cross-sectional,odds ratios,logistic regression,lifetime,,anxiety disorder,lifetime,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.2,0.8,13.1,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,GAD-MDE,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,67.5,40.1,113.7,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,agoraphobia without panic-MDE,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,9.5,4,22.6,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,specific phobia-MDE,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.9,2.4,6.3,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-MDE,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,26.1,9.2,74.2,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,PTSD-MDE,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,27.1,10.6,69.6,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,panic disorder-MDE,panic disorder,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,41.8,18.4,94.9,,,,,,
20,"Gabilondo et al, 2010",Spain,The European Study of the Epidemiology of Mental Disorders (ESEMeD),ESEMeD,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-MDE,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,12.9,8.6,19.5,,,,,,
21,"Glaesmer et al, 2012",Germany,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,anxiety disorder,,mood disorder,PTSD-major depression,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.053,2.064,7.888,,,,,,
23,"Goncalves et al, 2011",Australia,The National Survey of Mental Health and Wellbeing (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,lifetime,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,12.45,6.7,23.12,,Overall,5.31,2.39,11.78,,,,,,
27,"Grabe et al, 2001",Germany,Transitions in Alcohol Consumption and Smoking (TACS),TACS,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,major depression-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.51,2.79,10.86,,,,,,,,,,,
27,"Grabe et al, 2001",Germany,Transitions in Alcohol Consumption and Smoking (TACS),TACS,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,dysthymic disorder-OCD,dysthymia,OCD,dysthymia-OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Overall,14.89,1.76,126.2,,,,,,,,,,,
27,"Grabe et al, 2001",Germany,Transitions in Alcohol Consumption and Smoking (TACS),TACS,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-OCD,bipolar disorder,OCD,bipolar disorder-OCD,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,30,3.2,279.8,,,,,,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,mood disorder-GAD,mood disorder,GAD,mood disorder-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,Overall,18.7,15.77,22.15,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,dysthymia-GAD,dysthymia,GAD,dysthymia-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,Overall,12.4,9.33,16.35,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,bipolar II disorder-GAD,bipolar II,GAD,bipolar II-GAD,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.1,3.26,7.83,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,mood disorder-GAD,mood disorder,GAD,mood disorder-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,Overall,14.1,12.2,16.31,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,dysthymia-GAD,dysthymia,GAD,dysthymia-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,Overall,7.1,5.92,8.64,,,,,,
28,"Grant et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar II disorder-GAD,bipolar II,GAD,bipolar II-GAD,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5,3.54,7.03,,,,,,
29,"Grenier et al, 2011",Canada,Enquete sur la Sante des Aines (ESA),ESA,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,specific phobia-depressive disorder,specific phobia,mood disorder,specific phobia-mood disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,Overall,2.86,1.22,6.67,,,,,,
30,"Gureje et al, 2010",Nigeria,The World Mental Health Survey (WMHS),WMHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,MDE-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.9,2.7,12.7,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.3,4.7,6,,Overall,4.4,3.9,5,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,panic with agoraphobia-MDD,panic with agoraphobia,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.6,5.3,8.2,,Overall,4.84,3.65,6.42,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.9,4,6,,Overall,4.1,3.4,5.1,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,specific phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3,2.6,3.5,,Overall,2.5,2.1,3,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10.9,9,13.1,,Overall,8.6,7.1,10.5,,,,,,
31,"Hasin et al, 2005",USA,National Epidemiologic Survey on Alcohol and Related Conditions (NESARC),NESARC,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.5,4.2,4.9,,Overall,3.9,3.6,4.2,,,,,,
